threshold,vertices,faces,surface_area_mm2,volume_mm3,volume_cm3
0.1,544079,1086058,364097.25,2.5491938e+06,2549.1938
0.15,556383,1110890,368623.3,1.8843439e+06,1884.3439
0.2,355871,710186,233151.53,1.3409074e+06,1340.9073
0.25,309674,618830,204636.44,910999.6,910.99963
0.3,231041,461936,153043.98,531459.5,531.4595
0.35,107328,214504,70996.61,223144.4,223.14441
0.4,14321,28350,9151.377,10292.779,10.292779
